Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
mypy-extensions;                    0.4.3;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
nbclient;                           0.5.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
nbconvert;                          6.1.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
nbformat;                           5.1.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
nest-asyncio;                       1.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
notebook;                           6.4.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
numpy;                              1.21.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
openpyxl;                           2.6.4;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
openssl;                            1.1.1k;             h2bbff1b_0;             defaults;   OpenSSL;                                                                    2021-07-26
packaging;                          21.0;               pypi_0;                 pypi;       Apache Software License, BSD License;                                       2021-07-26
pandas;                             1.3.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
pandas-stubs;                       1.2.0.1;            pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pandoc;                             2.12;               haa95532_0;             defaults;   GPL-2.0;                                                                    2021-07-26
pandocfilters;                      1.4.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
parso;                              0.8.2;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
partd;                              1.2.0;              pypi_0;                 pypi;       BSD;                                                                        2021-07-26
pathspec;                           0.9.0;              pypi_0;                 pypi;       Mozilla Public License 2.0 (MPL 2.0);                                       2021-07-26
patsy;                              0.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
pickleshare;                        0.7.5;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pillow;                             8.3.1;              pypi_0;                 pypi;       Historical Permission Notice and Disclaimer (HPND);                         2021-07-26
pip;                                21.1.3;             py39haa95532_0;         defaults;   MIT;                                                                        2021-07-26
pip-licenses;                       3.5.1;              pypi_0;                 pypi;       MIT License (MIT License);                                                  2021-07-26
plantuml;                           0.3.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
plantuml-markdown;                  3.4.2;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
plotly;                             5.1.0;              pypi_0;                 pypi;       MIT;                                                                        2021-07-26
powershell_shortcut;                0.0.1;              3;                      defaults;   BSD;                                                                        2021-07-26
prometheus-client;                  0.11.0;             pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
prompt-toolkit;                     3.0.19;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
psutil;                             5.8.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
ptable;                             0.9.2;              pypi_0;                 pypi;       BSD License (BSD (3 clause));                                               2021-07-26
pybtex;                             0.24.0;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pybtex-docutils;                    1.0.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pycparser;                          2.20;               pypi_0;                 pypi;       BSD License;                                                                2021-07-26
pyenchant;                          3.2.1;              pypi_0;                 pypi;       GNU Library or Lesser General Public License (LGPL);                        2021-07-26
pygments;                           2.9.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
pylint;                             2.9.5;              pypi_0;                 pypi;       GNU General Public License v2 (GPLv2);                                      2021-07-26
pyparsing;                          2.4.7;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pyqt;                               5.9.2;              py39hd77b12b_6;         defaults;   Commercial, GPL-2.0, GPL-3.0;                                               2021-07-26
pyrsistent;                         0.18.0;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
pyserial;                           3.5;                pypi_0;                 pypi;       BSD License;                                                                2021-07-26
