Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
glib;                               2.69.0;             h5202010_0;             defaults;   LGPL-2.1;                                                                   2021-07-26
gprof2dot;                          2021.2.21;          pypi_0;                 pypi;       GNU Lesser General Public License v3 or later (LGPLv3+);                    2021-07-26
gst-plugins-base;                   1.14.0;             h8213a91_2;             defaults;   \-;                                                                         2021-07-26
gstreamer;                          1.14.0;             h28cd5cc_2;             defaults;   \-;                                                                         2021-07-26
httplib2;                           0.19.1;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
icu;                                58.2;               he6710b0_3;             defaults;   MIT;                                                                        2021-07-26
idna;                               3.2;                pypi_0;                 pypi;       BSD License;                                                                2021-07-26
imagesize;                          1.2.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
ipykernel;                          6.0.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
ipython;                            7.25.0;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
ipython-genutils;                   0.2.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
ipywidgets;                         7.6.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
isort;                              5.9.2;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
jdcal;                              1.4.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
jedi;                               0.18.0;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
jinja2;                             2.11.3;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
joblib;                             1.0.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
jpeg;                               9b;                 h024ee3a_2;             defaults;   Custom free software license;                                               2021-07-26
jsonschema;                         3.2.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
jupyter;                            1.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
jupyter-client;                     6.1.12;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
jupyter-console;                    6.4.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
jupyter-core;                       4.7.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
jupyterlab-pygments;                0.1.2;              pypi_0;                 pypi;       BSD;                                                                        2021-07-26
jupyterlab-widgets;                 1.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
kiwisolver;                         1.3.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
latexcodec;                         2.0.1;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
lazy-object-proxy;                  1.6.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
ld_impl_linux-64;                   2.35.1;             h7274673_9;             defaults;   GPL-3.0-only;                                                               2021-07-26
libffi;                             3.3;                he6710b0_2;             defaults;   https://github.com/libffi/libffi/blob/07f826fdd4d8a23a190f107f7ec6ad830a4864a0/LICENSE;2021-07-26
libgomp;                            9.3.0;              h5101ec6_17;            defaults;   GPL-3.0-only WITH GCC-exception-3.1;                                        2021-07-26
libgcc-ng;                          9.3.0;              h5101ec6_17;            defaults;   GPL-3.0-only WITH GCC-exception-3.1;                                        2021-07-26
libpng;                             1.6.37;             hbc83047_0;             defaults;   zlib/libpng;                                                                2021-07-26
libstdcxx-ng;                       9.3.0;              hd4cf53a_17;            defaults;   GPL-3.0-only WITH GCC-exception-3.1;                                        2021-07-26
libuuid;                            1.0.3;              h1bed415_2;             defaults;   \-;                                                                         2021-07-26
libxcb;                             1.14;               h7b6447c_0;             defaults;   \-;                                                                         2021-07-26
libxml2;                            2.9.12;             h03d6c58_0;             defaults;   MIT;                                                                        2021-07-26
locket;                             0.2.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
lxml;                               4.6.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
markdown;                           3.3.4;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
markupsafe;                         2.0.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
matplotlib;                         3.4.2;              pypi_0;                 pypi;       Python Software Foundation License;                                         2021-07-26
matplotlib-inline;                  0.1.2;              pypi_0;                 pypi;       BSD 3-Clause;                                                               2021-07-26
mccabe;                             0.6.1;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
mistune;                            0.8.4;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
msgpack;                            1.0.2;              pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
mypy;                               0.910;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
mypy-extensions;                    0.4.3;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
nbclient;                           0.5.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
nbconvert;                          6.1.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
nbformat;                           5.1.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
ncurses;                            6.2;                he6710b0_1;             defaults;   Free software (MIT-like);                                                   2021-07-26
nest-asyncio;                       1.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
notebook;                           6.4.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
numpy;                              1.21.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
openpyxl;                           2.6.4;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
openssl;                            1.1.1k;             h27cfd23_0;             defaults;   OpenSSL;                                                                    2021-07-26
packaging;                          21.0;               pypi_0;                 pypi;       Apache Software License, BSD License;                                       2021-07-26
pandas;                             1.3.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
pandas-stubs;                       1.2.0.1;            pypi_0;                 pypi;       MIT License;                                                                2021-07-26
