Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
regex;                              2020.11.13;         pypi_0;                 pypi;       Python Software Foundation License (Python Software Foundation License);    2021-02-02
requests;                           2.25.1;             pyhd3eb1b0_0;           defaults;   Apache-2.0;                                                                 2021-02-02
rope;                               0.18.0;             pypi_0;                 pypi;       LGPLv3;                                                                     2021-02-02
rstcheck;                           3.3.1;              pypi_0;                 pypi;       MIT License;                                                                2021-02-02
ruamel_yaml;                        0.15.87;            py38he774522_1;         defaults;   MIT;                                                                        2021-02-02
scikit-learn;                       0.23.2;             py38h47e9c7a_0;         defaults;   BSD-3-Clause;                                                               2021-02-02
scipy;                              1.5.2;              py38h14eb087_0;         defaults;   BSD-3-Clause;                                                               2021-02-02
seaborn;                            0.11.1;             pypi_0;                 pypi;       BSD-3-Clause;                                                               2021-02-02
send2trash;                         1.5.0;              pyhd3eb1b0_1;           defaults;   BSD License;                                                                2021-02-02
setuptools;                         52.0.0;             py38haa95532_0;         defaults;   MIT;                                                                        2021-02-02
sip;                                4.19.13;            py38ha925a31_0;         defaults;   GPL-3.0;                                                                    2021-02-02
six;                                1.15.0;             py38haa95532_0;         defaults;   MIT;                                                                        2021-02-02
smmap;                              3.0.5;              pypi_0;                 pypi;       BSD License (BSD);                                                          2021-02-02
snowballstemmer;                    2.1.0;              pyhd3eb1b0_0;           defaults;   BSD-2-Clause;                                                               2021-02-02
sortedcontainers;                   2.3.0;              pyhd3eb1b0_0;           defaults;   Apache 2.0;                                                                 2021-02-02
sphinx;                             3.4.3;              pyhd3eb1b0_0;           defaults;   BSD-2-Clause;                                                               2021-02-02
sphinx-rtd-theme;                   0.5.1;              pypi_0;                 pypi;       MIT License (MIT);                                                          2021-02-02
sphinxcontrib-applehelp;            1.0.2;              pyhd3eb1b0_0;           defaults;   BSD-2-Clause;                                                               2021-02-02
sphinxcontrib-bibtex;               2.1.4;              pypi_0;                 pypi;       BSD License (BSD);                                                          2021-02-02
sphinxcontrib-devhelp;              1.0.2;              pyhd3eb1b0_0;           defaults;   BSD-2-Clause;                                                               2021-02-02
sphinxcontrib-htmlhelp;             1.0.3;              pyhd3eb1b0_0;           defaults;   BSD-2-Clause;                                                               2021-02-02
sphinxcontrib-jsmath;               1.0.1;              pyhd3eb1b0_0;           defaults;   BSD-2-Clause;                                                               2021-02-02
sphinxcontrib-qthelp;               1.0.3;              pyhd3eb1b0_0;           defaults;   BSD-2-Clause;                                                               2021-02-02
sphinxcontrib-serializinghtml;          1.1.4;          pyhd3eb1b0_0;           defaults;   BSD License;                                                                2021-02-02
sphinxcontrib-spelling;             7.1.0;              pypi_0;                 pypi;       BSD License;                                                                2021-02-02
sqlite;                             3.33.0;             h2a8f88b_0;             defaults;   Public-Domain (http://www.sqlite.org/copyright.html);                       2021-02-02
statsmodels;                        0.12.1;             pypi_0;                 pypi;       BSD;                                                                        2021-02-02
tabulate;                           0.8.7;              pypi_0;                 pypi;       MIT License (MIT);                                                          2021-02-02
tblib;                              1.7.0;              py_0;                   defaults;   BSD-2-Clause;                                                               2021-02-02
terminado;                          0.9.2;              py38haa95532_0;         defaults;   BSD-2-Clause;                                                               2021-02-02
testpath;                           0.4.4;              pyhd3eb1b0_0;           defaults;   BSD-3-Clause;                                                               2021-02-02
textparser;                         0.23.0;             pypi_0;                 pypi;       MIT License (MIT);                                                          2021-02-02
threadpoolctl;                      2.1.0;              pyh5ca1d4c_0;           defaults;   BSD-3-Clause;                                                               2021-02-02
tk;                                 8.6.10;             he774522_0;             defaults;   Tcl/tk;                                                                     2021-02-02
toml;                               0.10.2;             pypi_0;                 pypi;       MIT License (MIT);                                                          2021-02-02
toolz;                              0.11.1;             pyhd3eb1b0_0;           defaults;   BSD-3-Clause;                                                               2021-02-02
tornado;                            6.1;                py38h2bbff1b_0;         defaults;   Apache-2.0;                                                                 2021-02-02
tqdm;                               4.56.0;             pyhd3eb1b0_0;           defaults;   MPLv2.0, MIT;                                                               2021-02-02
traitlets;                          5.0.5;              pyhd3eb1b0_0;           defaults;   BSD-3-Clause;                                                               2021-02-02
typed-ast;                          1.4.2;              pypi_0;                 pypi;       Apache License 2.0;                                                         2021-02-02
typing_extensions;                  3.7.4.3;            pyh06a4308_0;           defaults;   PSF;                                                                        2021-02-02
urllib3;                            1.26.3;             pyhd3eb1b0_0;           defaults;   MIT;                                                                        2021-02-02
vc;                                 14.2;               h21ff451_1;             defaults;   Modified BSD License (3-clause);                                            2021-02-02
vs2015_runtime;                     14.27.29016;        h5e58377_2;             defaults;   \-;                                                                         2021-02-02
wcwidth;                            0.2.5;              py_0;                   defaults;   MIT;                                                                        2021-02-02
webencodings;                       0.5.1;              py38_1;                 defaults;   BSD 3-Clause;                                                               2021-02-02
wheel;                              0.36.2;             pyhd3eb1b0_0;           defaults;   MIT;                                                                        2021-02-02
widgetsnbextension;                 3.5.1;              py38_0;                 defaults;   BSD 3-clause;                                                               2021-02-02
win_inet_pton;                      1.1.0;              py38haa95532_0;         defaults;   PUBLIC-DOMAIN;                                                              2021-02-02
wincertstore;                       0.2;                py38_0;                 defaults;   PSF 2;                                                                      2021-02-02
windows-curses;                     2.2.0;              pypi_0;                 pypi;       Python Software Foundation License (PSF2);                                  2021-02-02
winpty;                             0.4.3;              4;                      defaults;   MIT;                                                                        2021-02-02
wrapt;                              1.12.1;             pypi_0;                 pypi;       BSD License (BSD);                                                          2021-02-02
wxpython;                           4.1.1;              pypi_0;                 pypi;       wxWindows Library v3.1;                                                     2021-02-02
xdis;                               5.0.7;              pypi_0;                 pypi;       GPLv2;                                                                      2021-02-02
xz;                                 5.2.5;              h62dcd97_0;             defaults;   LGPL-2.1 and GPL-2.0;                                                       2021-02-02
yaml;                               0.2.5;              he774522_0;             defaults;   MIT;                                                                        2021-02-02
zeromq;                             4.3.3;              ha925a31_3;             defaults;   LGPL 3;                                                                     2021-02-02
zict;                               2.0.0;              py_0;                   defaults;   BSD-3-Clause;                                                               2021-02-02
zipp;                               3.4.0;              pyhd3eb1b0_0;           defaults;   MIT;                                                                        2021-02-02
zlib;                               1.2.11;             h62dcd97_4;             defaults;   zlib;                                                                       2021-02-02
zstd;                               1.4.5;              h04227a9_0;             defaults;   BSD 3-Clause;                                                               2021-02-02
