Location in repository  ; ``./src/os/freertos/freertos-plus/freertos-plus-tcp``
License                 ; MIT License
SPDX short identifier   ; MIT
License file            ; ``./src/os/freertos/freertos-plus/freertos-plus-tcp/LICENSE.md``
License URL             ; https://github.com/FreeRTOS/FreeRTOS-Plus-TCP/blob/V4.3.2/LICENSE.md
Latest license check    ; 2025-07-03
Website                 ; https://www.freertos.org/Documentation/03-Libraries/02-FreeRTOS-plus/02-FreeRTOS-plus-TCP/01-FreeRTOS-Plus-TCP
