License                 ; 2-clause BSD or custom Ruby license
SPDX short identifier   ; BSD-2-Clause
Latest license check    ; 2025-02-18
Website                 ; https://www.ruby-lang.org/en/
License URL             ; https://www.ruby-lang.org/en/about/license.txt
License file            ; <ruby-install-dir>/LICENSE.txt
