Connector ID    ; Functionality                         ; Pinout
X200            ; Cell voltage measurement              ; :ref:`6813-1_slave_18cell_v1.1.3_cell_sense_connector`
X201            ; Temperature sensors                   ; :ref:`6813-1_slave_18cell_v1.1.3_temp_sense_connector`
X202            ; Temperature sensors                   ; :ref:`6813-1_slave_18cell_v1.1.3_temp_sense_connector`
X500            ; isoSPI Daisy Chain inputput           ; :ref:`6813-1_slave_18cell_v1.1.3_daisy_input_connectors`
X501            ; isoSPI Daisy Chain output             ; :ref:`6813-1_slave_18cell_v1.1.3_daisy_output_connectors`
X502            ; isoSPI Daisy Chain input              ; :ref:`6813-1_slave_18cell_v1.1.3_daisy_input_connectors`
X503            ; isoSPI Daisy Chain output             ; :ref:`6813-1_slave_18cell_v1.1.3_daisy_output_connectors`
X1002           ; External DC supply                    ; :ref:`6813-1_slave_18cell_v1.1.3_external_dc_supply_connector`
X1001           ; External DC supply                    ; :ref:`6813-1_slave_18cell_v1.1.3_external_dc_supply_connector`
